art_id,criteriaID,human_annotation,human_annotation2,gpt_annotation,expost_groundtruth,to_annotate,human_annotation_verbose,human_annotation2_verbose,gpt_annotation_verbose,borderline
192,HeadAcc1,2,4,3,Empty,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,Empty
195,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
196,ArtBias,2,3,1,Empty,False,Abbastanza di parte,Abbastanza imparziale,Di parte,Empty
198,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
198,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
199,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
199,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
199,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
201,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
201,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
203,NegTarg2,['3'],[],"['1', '3']",Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
203,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
204,LedePres,1,2,1,Empty,True,No,Si,No,Empty
204,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
207,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
207,Type,2,3,1,Empty,True,Editoriale o opinione,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
208,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
208,Type,3,2,1,Empty,True,Inchiesta,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
209,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
209,ArtBias,2,3,2,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,Empty
209,LedePres,1,2,1,Empty,True,No,Si,No,Empty
210,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
210,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
210,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
212,LedePres,2,1,1,Empty,True,Si,No,No,Empty
213,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
213,ArtBias,2,3,3,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza imparziale,Empty
213,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
214,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
214,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
215,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
216,Type,2,3,1,Empty,True,Editoriale o opinione,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
217,Type,3,1,1,Empty,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
217,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
217,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
218,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
219,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
219,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
220,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
220,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
221,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
221,HeadAcc1,4,2,4,Empty,True,Accurato,Abbastanza inaccurato,Accurato,Empty
222,HeadAcc1,2,4,3,Empty,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,Empty
222,ArtBias,2,3,3,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza imparziale,Empty
222,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
223,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
223,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
225,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
225,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
226,NegTarg2,['4'],[],['3'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
226,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
226,ArtBias,2,3,3,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza imparziale,Empty
227,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
228,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
229,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
229,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
229,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
229,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
230,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
232,Type,2,3,1,Empty,True,Editoriale o opinione,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
233,LedePres,1,2,1,Empty,True,No,Si,No,Empty
234,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
235,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
235,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
235,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
235,SensLang,3,2,3,Empty,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza neutro,Empty
237,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
237,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
237,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
237,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
238,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
240,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
241,Type,1,5,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
242,ArtBias,3,4,2,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza di parte,Empty
242,NegTarg2,[],['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
242,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
242,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
243,NegTarg2,['1'],[],['-1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
244,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
244,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
244,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
244,ArtBias,4,3,2,Empty,False,Imparziale,Abbastanza imparziale,Abbastanza di parte,Empty
245,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
245,SensLang,3,2,3,Empty,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza neutro,Empty
245,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
245,ArtBias,2,3,2,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,Empty
245,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
246,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
246,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
246,Type,2,3,1,Empty,True,Editoriale o opinione,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
246,HeadAcc1,4,3,4,Empty,False,Accurato,Abbastanza accurato,Accurato,Empty
248,ArtBias,4,3,3,Empty,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,Empty
249,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
251,Type,2,3,2,Empty,True,Editoriale o opinione,Inchiesta,Editoriale o opinione,Empty
254,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
256,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
256,SensLang,3,2,3,Empty,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza neutro,Empty
257,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
257,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
259,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
259,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
261,SensLang,4,3,3,Empty,False,Neutro,Abbastanza neutro,Abbastanza neutro,Empty
261,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
261,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
262,LedePres,1,2,1,Empty,True,No,Si,No,Empty
265,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
266,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
266,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
266,ArtBias,2,3,2,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,Empty
267,NegTarg2,"['4', '3']",['4'],"['1', '4']",Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
267,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
267,ArtBias,2,3,1,Empty,False,Abbastanza di parte,Abbastanza imparziale,Di parte,Empty
268,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
273,NegTarg2,['2'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
275,LedePres,1,2,1,Empty,True,No,Si,No,Empty
276,HeadAcc1,1,3,4,Empty,True,Non accurato,Abbastanza accurato,Accurato,Empty
277,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
277,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
280,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
281,HeadAcc1,2,4,4,Empty,True,Abbastanza inaccurato,Accurato,Accurato,Empty
282,HeadAcc1,2,4,4,Empty,True,Abbastanza inaccurato,Accurato,Accurato,Empty
282,ArtBias,2,3,2,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,Empty
282,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
282,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
283,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
283,LedePres,1,2,1,Empty,True,No,Si,No,Empty
283,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
284,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
284,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
286,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
286,NegTarg2,['4'],[],['2'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
287,ArtBias,1,2,1,Empty,False,Di parte,Abbastanza di parte,Di parte,Empty
289,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
289,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
290,LedePres,1,2,1,Empty,True,No,Si,No,Empty
290,SensLang,2,4,3,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza neutro,Empty
290,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
291,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
291,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
293,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
294,Type,1,5,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
294,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
295,HeadAcc1,1,2,2,Empty,False,Non accurato,Abbastanza inaccurato,Abbastanza inaccurato,Empty
295,SensLang,2,4,2,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza sensazionale,Empty
295,ArtBias,2,4,2,Empty,True,Abbastanza di parte,Imparziale,Abbastanza di parte,Empty
295,NegTarg2,['3'],"['4', '3']",['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
296,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
297,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
298,SensLang,1,4,4,Empty,True,Sensazionale,Neutro,Neutro,Empty
300,HeadAcc1,2,1,2,Empty,False,Abbastanza inaccurato,Non accurato,Abbastanza inaccurato,Empty
300,SensLang,2,4,3,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza neutro,Empty
301,Type,3,1,3,Empty,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,Empty
301,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
304,HeadAcc1,2,4,3,Empty,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,Empty
304,NegTarg2,"['2', '4']",['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
304,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
306,LedePres,1,2,1,Empty,True,No,Si,No,Empty
306,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
306,SensLang,3,4,4,Empty,False,Abbastanza neutro,Neutro,Neutro,Empty
307,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
307,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
308,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
311,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
311,HeadAcc1,2,3,2,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza inaccurato,Empty
311,ArtBias,3,4,2,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza di parte,Empty
312,ArtBias,2,3,3,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza imparziale,Empty
313,ArtBias,1,2,1,Empty,False,Di parte,Abbastanza di parte,Di parte,Empty
314,LedePres,1,2,1,Empty,True,No,Si,No,Empty
317,Type,2,1,1,Empty,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
317,NegTarg2,[],['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
317,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
319,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
319,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
319,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
320,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
321,HeadAcc1,3,2,4,Empty,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,Empty
324,SensLang,1,2,1,Empty,False,Sensazionale,Abbastanza sensazionale,Sensazionale,Empty
324,ArtBias,1,2,1,Empty,False,Di parte,Abbastanza di parte,Di parte,Empty
324,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
324,HeadAcc1,2,4,3,Empty,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,Empty
326,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
327,NegTarg2,['2'],['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
328,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
328,Type,1,5,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
330,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
330,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
331,ArtBias,2,3,1,Empty,False,Abbastanza di parte,Abbastanza imparziale,Di parte,Empty
335,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
336,SensLang,2,4,3,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza neutro,Empty
338,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
338,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
339,ArtBias,2,4,4,Empty,True,Abbastanza di parte,Imparziale,Imparziale,Empty
339,SensLang,2,4,4,Empty,True,Abbastanza sensazionale,Neutro,Neutro,Empty
340,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
340,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
340,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
341,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
341,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
342,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
342,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
343,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
344,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
344,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
345,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
345,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
345,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
345,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
345,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
345,LedePres,1,2,1,Empty,True,No,Si,No,Empty
346,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
346,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
350,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
350,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
350,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
350,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
350,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
351,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
351,LedePres,1,2,1,Empty,True,No,Si,No,Empty
